venue,innings,batting_team,bowling_team,batsmen,bowlers,y_actual
Brabourne Stadium,1,Rajasthan Royals,Kolkata Knight Riders,"AM Rahane,SR Watson","Azhar Mahmood,M Morkel,UT Yadav,Shakib Al Hasan",66
Brabourne Stadium,2,Kolkata Knight Riders,Rajasthan Royals,"RV Uthappa,G Gambhir,MK Pandey,YK Pathan","CH Morris,BB Sran,DS Kulkarni",53
M Chinnaswamy Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,"Q de Kock,SS Iyer","MA Starc,AB Dinda,HV Patel,D Wiese",54
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,"V Kohli,CH Gayle",J Yadav,2
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Mumbai Indians,"DA Warner,S Dhawan,EJG Morgan,MC Henriques","SL Malinga,MJ McClenaghan,R Vinay Kumar",29
"Rajiv Gandhi International Stadium, Uppal",2,Mumbai Indians,Sunrisers Hyderabad,"LMP Simmons,PA Patel","DW Steyn,B Kumar,P Kumar,MC Henriques",38
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,"LMP Simmons,PA Patel","R Ashwin,A Nehra",48
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,"DR Smith,F du Plessis,MEK Hussey,SK Raina","SL Malinga,MJ McClenaghan,R Vinay Kumar",54
Maharashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,"CH Gayle,V Kohli","CH Morris,JP Faulkner,DS Kulkarni,SR Watson",41
Maharashtra Cricket Association Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,"AM Rahane,SR Watson,SV Samson,SPD Smith","MA Starc,S Aravind,HV Patel",40
JSCA International Stadium Complex,1,Royal Challengers Bangalore,Chennai Super Kings,"CH Gayle,V Kohli,AB de Villiers,Mandeep Singh","A Nehra,R Ashwin",29
JSCA International Stadium Complex,2,Chennai Super Kings,Royal Challengers Bangalore,"DR Smith,MEK Hussey,F du Plessis","MA Starc,S Aravind,HV Patel",34
Eden Gardens,1,Mumbai Indians,Chennai Super Kings,"LMP Simmons,PA Patel,RG Sharma","A Nehra,MM Sharma,R Ashwin,RA Jadeja",61
Eden Gardens,2,Chennai Super Kings,Mumbai Indians,"DR Smith,MEK Hussey,SK Raina","SL Malinga,MJ McClenaghan,R Vinay Kumar",31
Wankhede Stadium,1,Mumbai Indians,Rising Pune Supergiants,"LMP Simmons,RG Sharma,HH Pandya,JC Buttler,AT Rayudu,KA Pollard","RP Singh,I Sharma,MR Marsh",37
Wankhede Stadium,2,Rising Pune Supergiants,Mumbai Indians,"AM Rahane,F du Plessis","MJ McClenaghan,JJ Bumrah",57
Eden Gardens,1,Delhi Daredevils,Kolkata Knight Riders,"MA Agarwal,Q de Kock,SS Iyer,KK Nair,SV Samson,P Negi","AD Russell,UT Yadav,JW Hastings",35
Eden Gardens,2,Kolkata Knight Riders,Delhi Daredevils,"RV Uthappa,G Gambhir","NM Coulter-Nile,Z Khan,CH Morris",47
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Gujarat Lions,"M Vijay,M Vohra","P Kumar,PJ Sangwan,JP Faulkner,S Ladda",52
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Gujarat Lions,Kings XI Punjab,"AJ Finch,BB McCullum,SK Raina","Sandeep Sharma,MG Johnson,MM Sharma,MP Stoinis",57
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,"CH Gayle,V Kohli,AB de Villiers","A Nehra,B Kumar,Mustafizur Rahman",49
M Chinnaswamy Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,"DA Warner,S Dhawan,MC Henriques","AF Milne,SR Watson,Parvez Rasool,HV Patel",56
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,"RV Uthappa,G Gambhir,MK Pandey","TG Southee,JJ Bumrah,MJ McClenaghan",40
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,"RG Sharma,PA Patel","AD Russell,JW Hastings,GB Hogg",53
Saurashtra Cricket Association Stadium,1,Rising Pune Supergiants,Gujarat Lions,"AM Rahane,F du Plessis,KP Pietersen","P Kumar,SB Jakati,PV Tambe,DJ Bravo",57
Saurashtra Cricket Association Stadium,2,Gujarat Lions,Rising Pune Supergiants,"AJ Finch,BB McCullum","RP Singh,I Sharma,R Ashwin,M Ashwin",62
Feroz Shah Kotla,1,Kings XI Punjab,Delhi Daredevils,"M Vijay,M Vohra,SE Marsh","Z Khan,P Negi,CH Morris,CR Brathwaite",37
Feroz Shah Kotla,2,Delhi Daredevils,Kings XI Punjab,"Q de Kock,SS Iyer,SV Samson","Sandeep Sharma,MG Johnson,MM Sharma,AR Patel",28
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kolkata Knight Riders,"DA Warner,S Dhawan,MC Henriques,EJG Morgan","M Morkel,UT Yadav,Shakib Al Hasan",36
"Rajiv Gandhi International Stadium, Uppal",2,Kolkata Knight Riders,Sunrisers Hyderabad,"RV Uthappa,G Gambhir","B Kumar,BB Sran,Mustafizur Rahman",36
Wankhede Stadium,1,Mumbai Indians,Gujarat Lions,"RG Sharma,HH Pandya,PA Patel,JC Buttler","P Kumar,DS Kulkarni",31
Wankhede Stadium,2,Gujarat Lions,Mumbai Indians,"AJ Finch,BB McCullum,SK Raina","TG Southee,JJ Bumrah,MJ McClenaghan,KH Pandya",42
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Rising Pune Supergiants,Kings XI Punjab,"AM Rahane,F du Plessis,KP Pietersen","Sandeep Sharma,KJ Abbott,AR Patel,P Sahu",49
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kings XI Punjab,Rising Pune Supergiants,"M Vijay,M Vohra","I Sharma,Ankit Sharma,R Ashwin",50
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,"CH Gayle,AB de Villiers,V Kohli","Z Khan,CH Morris,Mohammed Shami",63
M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,"Q de Kock,SS Iyer,SV Samson,KK Nair","S Aravind,Parvez Rasool,SR Watson",51
"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Sunrisers Hyderabad,"MJ Guptill,AT Rayudu,PA Patel,RG Sharma","B Kumar,BB Sran,MC Henriques,Mustafizur Rahman",40
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Mumbai Indians,"DA Warner,S Dhawan,MC Henriques","TG Southee,MJ McClenaghan,JJ Bumrah,Harbhajan Singh",33
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,"M Vijay,M Vohra,SE Marsh","M Morkel,UT Yadav,Shakib Al Hasan",41
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kolkata Knight Riders,Kings XI Punjab,"RV Uthappa,G Gambhir","Sandeep Sharma,KJ Abbott,MM Sharma,AR Patel",65
Wankhede Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"V Kohli,KL Rahul,AB de Villiers","TG Southee,MJ McClenaghan,JJ Bumrah",49
Wankhede Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"RG Sharma,PA Patel,AT Rayudu","VR Aaron,KW Richardson,SR Watson",51
Saurashtra Cricket Association Stadium,1,Gujarat Lions,Sunrisers Hyderabad,"AJ Finch,SK Raina,BB McCullum","B Kumar,BB Sran,Mustafizur Rahman,DJ Hooda",50
Saurashtra Cricket Association Stadium,2,Sunrisers Hyderabad,Gujarat Lions,"DA Warner,S Dhawan","DW Steyn,P Kumar,DJ Bravo,SK Raina",63
Maharashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Rising Pune Supergiants,"V Kohli,KL Rahul,AB de Villiers","I Sharma,NLTC Perera,Ankit Sharma",48
Maharashtra Cricket Association Stadium,2,Rising Pune Supergiants,Royal Challengers Bangalore,"AM Rahane,F du Plessis,KP Pietersen,SPD Smith,MS Dhoni","STR Binny,KW Richardson,HV Patel,SR Watson",36
Feroz Shah Kotla,1,Delhi Daredevils,Mumbai Indians,"Q de Kock,SS Iyer,SV Samson","TG Southee,MJ McClenaghan,JJ Bumrah,KH Pandya",41
Feroz Shah Kotla,2,Mumbai Indians,Delhi Daredevils,"RG Sharma,PA Patel,AT Rayudu","Z Khan,Mohammed Shami,P Negi,CH Morris",52
"Rajiv Gandhi International Stadium, Uppal",1,Kings XI Punjab,Sunrisers Hyderabad,"M Vijay,M Vohra,SE Marsh","B Kumar,BB Sran,DJ Hooda,Mustafizur Rahman",35
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Kings XI Punjab,"DA Warner,S Dhawan","Sandeep Sharma,KJ Abbott,GJ Maxwell,MM Sharma",65
Saurashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Gujarat Lions,"V Kohli,SR Watson,AB de Villiers","P Kumar,DS Kulkarni,PV Tambe,SB Jakati",50
Saurashtra Cricket Association Stadium,2,Gujarat Lions,Royal Challengers Bangalore,"DR Smith,BB McCullum","YS Chahal,KW Richardson,Iqbal Abdulla,SR Watson",72
Maharashtra Cricket Association Stadium,1,Rising Pune Supergiants,Kolkata Knight Riders,"AM Rahane,F du Plessis,SPD Smith","M Morkel,AD Russell,Shakib Al Hasan,SP Narine",31
Maharashtra Cricket Association Stadium,2,Kolkata Knight Riders,Rising Pune Supergiants,"RV Uthappa,SA Yadav,G Gambhir,Shakib Al Hasan","JA Morkel,NLTC Perera,R Ashwin",59
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Mumbai Indians,Kings XI Punjab,"RG Sharma,AT Rayudu,PA Patel","Sandeep Sharma,MG Johnson,AR Patel",39
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kings XI Punjab,Mumbai Indians,"M Vijay,M Vohra,SE Marsh,GJ Maxwell","TG Southee,MJ McClenaghan,JJ Bumrah",40
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Rising Pune Supergiants,"DA Warner,AP Tare,S Dhawan,EJG Morgan,DJ Hooda","AB Dinda,MR Marsh,NLTC Perera",27
"Rajiv Gandhi International Stadium, Uppal",2,Rising Pune Supergiants,Sunrisers Hyderabad,"AM Rahane,SPD Smith,F du Plessis","B Kumar,A Nehra,Mustafizur Rahman",46
Feroz Shah Kotla,1,Gujarat Lions,Delhi Daredevils,"DR Smith,BB McCullum","Z Khan,S Nadeem,CH Morris",71
Feroz Shah Kotla,2,Delhi Daredevils,Gujarat Lions,"Q de Kock,SV Samson,KK Nair,JP Duminy,RR Pant","P Kumar,DS Kulkarni",22
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,"RV Uthappa,G Gambhir","TG Southee,MJ McClenaghan,JJ Bumrah,Harbhajan Singh",59
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,"RG Sharma,PA Patel,AT Rayudu","JD Unadkat,UT Yadav,Shakib Al Hasan,SP Narine",64
Maharashtra Cricket Association Stadium,1,Rising Pune Supergiants,Gujarat Lions,"AM Rahane,SS Tiwary,SPD Smith","P Kumar,DS Kulkarni",48
Maharashtra Cricket Association Stadium,2,Gujarat Lions,Rising Pune Supergiants,"DR Smith,BB McCullum","JA Morkel,AB Dinda,NLTC Perera,R Ashwin",72
Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,"Q de Kock,SS Iyer,SV Samson,KK Nair","AD Russell,JO Holder,SP Narine",37
Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,"RV Uthappa,G Gambhir,PP Chawla,YK Pathan","Z Khan,Mohammed Shami",43
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Royal Challengers Bangalore,"DA Warner,S Dhawan,KS Williamson","KW Richardson,SR Watson,Parvez Rasool,VR Aaron,HV Patel",49
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Sunrisers Hyderabad,"V Kohli,KL Rahul,AB de Villiers","A Nehra,B Kumar,Mustafizur Rahman",45
Saurashtra Cricket Association Stadium,1,Kings XI Punjab,Gujarat Lions,"M Vijay,MP Stoinis","P Kumar,DS Kulkarni,RA Jadeja",59
Saurashtra Cricket Association Stadium,2,Gujarat Lions,Kings XI Punjab,"DR Smith,BB McCullum,SK Raina,KD Karthik","Sandeep Sharma,MM Sharma,MP Stoinis,AR Patel,KC Cariappa",36
Maharashtra Cricket Association Stadium,1,Rising Pune Supergiants,Mumbai Indians,"AM Rahane,SS Tiwary,SPD Smith","TG Southee,MJ McClenaghan,KH Pandya,JJ Bumrah",54
Maharashtra Cricket Association Stadium,2,Mumbai Indians,Rising Pune Supergiants,"RG Sharma,PA Patel,AT Rayudu","NLTC Perera,AB Dinda,SM Boland",47
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,"KL Rahul,CH Gayle,V Kohli","AD Russell,M Morkel,SP Narine",40
M Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,"RV Uthappa,G Gambhir,CA Lynn,MK Pandey","STR Binny,S Aravind,SR Watson,YS Chahal,VR Aaron",37
Saurashtra Cricket Association Stadium,1,Gujarat Lions,Delhi Daredevils,"DR Smith,BB McCullum,AJ Finch,SK Raina,KD Karthik","S Nadeem,CH Morris,Z Khan,Mohammed Shami",35
Saurashtra Cricket Association Stadium,2,Delhi Daredevils,Gujarat Lions,"Q de Kock,RR Pant","P Kumar,DS Kulkarni,SK Raina",61
Eden Gardens,1,Kolkata Knight Riders,Kings XI Punjab,"RV Uthappa,G Gambhir","Sandeep Sharma,MM Sharma,MP Stoinis,AR Patel",40
Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,"M Vijay,MP Stoinis,M Vohra,GJ Maxwell,WP Saha","AD Russell,M Morkel,UT Yadav",37
Feroz Shah Kotla,1,Delhi Daredevils,Rising Pune Supergiants,"RR Pant,SV Samson,KK Nair","AB Dinda,NLTC Perera,SM Boland",48
Feroz Shah Kotla,2,Rising Pune Supergiants,Delhi Daredevils,"AM Rahane,UT Khawaja","J Yadav,CR Brathwaite,Mohammed Shami",50
"Rajiv Gandhi International Stadium, Uppal",1,Gujarat Lions,Sunrisers Hyderabad,"DR Smith,BB McCullum,SK Raina,KD Karthik,AJ Finch","B Kumar,A Nehra,Mustafizur Rahman",26
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Gujarat Lions,"DA Warner,S Dhawan,KS Williamson,MC Henriques","P Kumar,PJ Sangwan,DS Kulkarni",38
M Chinnaswamy Stadium,1,Rising Pune Supergiants,Royal Challengers Bangalore,"AM Rahane,UT Khawaja,SS Tiwary","STR Binny,Parvez Rasool,CJ Jordan,SR Watson,VR Aaron",60
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rising Pune Supergiants,"V Kohli,KL Rahul","AB Dinda,RP Singh,NLTC Perera",46
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Delhi Daredevils,"M Vijay,MP Stoinis,HM Amla","S Nadeem,Mohammed Shami,CH Morris,Z Khan",45
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Delhi Daredevils,Kings XI Punjab,"Q de Kock,SV Samson","Sandeep Sharma,MM Sharma,KC Cariappa,MP Stoinis,AR Patel",51
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Mumbai Indians,"DA Warner,S Dhawan","TG Southee,MJ McClenaghan,Harbhajan Singh,JJ Bumrah",51
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Mumbai Indians,Sunrisers Hyderabad,"RG Sharma,PA Patel,KH Pandya,AT Rayudu,JC Buttler,HH Pandya,KA Pollard","B Kumar,A Nehra,BB Sran",32
Eden Gardens,1,Kolkata Knight Riders,Gujarat Lions,"RV Uthappa,G Gambhir,MK Pandey,SA Yadav,Shakib Al Hasan","P Kumar,DS Kulkarni,DR Smith",28
Eden Gardens,2,Gujarat Lions,Kolkata Knight Riders,"DR Smith,BB McCullum,SK Raina","AD Russell,M Morkel,Shakib Al Hasan,PP Chawla",46
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Royal Challengers Bangalore,Kings XI Punjab,"V Kohli,KL Rahul","Sandeep Sharma,Anureet Singh,MM Sharma,MP Stoinis,AR Patel",56
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kings XI Punjab,Royal Challengers Bangalore,"HM Amla,M Vijay,WP Saha","STR Binny,YS Chahal,CJ Jordan,SR Watson",50
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Rising Pune Supergiants,"DA Warner,S Dhawan,KS Williamson","AB Dinda,RP Singh",34
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rising Pune Supergiants,Sunrisers Hyderabad,"AM Rahane,GJ Bailey,UT Khawaja,R Ashwin","B Kumar,A Nehra,BB Sran",25
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"V Kohli,AB de Villiers,CH Gayle,KL Rahul","TG Southee,MJ McClenaghan,JJ Bumrah,KH Pandya",25
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"RG Sharma,PA Patel,AT Rayudu","STR Binny,S Aravind,CJ Jordan,SR Watson",39
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Delhi Daredevils,"DA Warner,S Dhawan","J Yadav,NM Coulter-Nile,Mohammed Shami",51
"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Sunrisers Hyderabad,"Q de Kock,MA Agarwal,KK Nair","B Kumar,A Nehra,BB Sran,Mustafizur Rahman",50
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Mumbai Indians,Kings XI Punjab,"RG Sharma,UBT Chand,AT Rayudu,N Rana","Sandeep Sharma,MM Sharma,AR Patel",21
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Kings XI Punjab,Mumbai Indians,"M Vijay,HM Amla,WP Saha","TG Southee,MJ McClenaghan,KH Pandya,JJ Bumrah",32
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Gujarat Lions,"CH Gayle,V Kohli,AB de Villiers","P Kumar,DS Kulkarni,S Kaushik,PV Tambe",42
M Chinnaswamy Stadium,2,Gujarat Lions,Royal Challengers Bangalore,"DR Smith,BB McCullum,RA Jadeja,KD Karthik","STR Binny,S Aravind,YS Chahal,SR Watson",41
Eden Gardens,1,Rising Pune Supergiants,Kolkata Knight Riders,"AM Rahane,UT Khawaja,GJ Bailey,SS Tiwary","AD Russell,M Morkel,Shakib Al Hasan",37
Eden Gardens,2,Kolkata Knight Riders,Rising Pune Supergiants,"RV Uthappa,MK Pandey,G Gambhir,YK Pathan","R Ashwin,AB Dinda,M Ashwin,A Zampa",66
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Sunrisers Hyderabad,"HM Amla,M Vijay,WP Saha","B Kumar,A Nehra,Mustafizur Rahman,BCJ Cutting",47
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Sunrisers Hyderabad,Kings XI Punjab,"DA Warner,S Dhawan","Sandeep Sharma,M Vijay,MM Sharma,Anureet Singh,MP Stoinis,GJ Maxwell",55
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Mumbai Indians,Delhi Daredevils,"RG Sharma,MJ Guptill","S Nadeem,CH Morris,Z Khan",45
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Delhi Daredevils,Mumbai Indians,"MA Agarwal,Q de Kock,KK Nair,SV Samson","Harbhajan Singh,R Vinay Kumar,MJ McClenaghan,JJ Bumrah",49
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,"RV Uthappa,G Gambhir,MK Pandey","STR Binny,S Aravind,Iqbal Abdulla,SR Watson",51
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,"CH Gayle,V Kohli","AD Russell,M Morkel,SP Narine,PP Chawla",63
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Delhi Daredevils,Rising Pune Supergiants,"Q de Kock,SS Iyer,KK Nair,SV Samson","AB Dinda,DL Chahar,NLTC Perera",28
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rising Pune Supergiants,Delhi Daredevils,"AM Rahane,UT Khawaja,GJ Bailey","Z Khan,NM Coulter-Nile,CH Morris",44
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,"CH Gayle,V Kohli","Sandeep Sharma,MM Sharma,KJ Abbott,KC Cariappa,AR Patel",63
M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,"M Vijay,HM Amla,WP Saha,DA Miller,Gurkeerat Singh,AR Patel","STR Binny,S Aravind,CJ Jordan,YS Chahal,SR Watson",59
Green Park,1,Kolkata Knight Riders,Gujarat Lions,"RV Uthappa,G Gambhir,MK Pandey,PP Chawla","P Kumar,DS Kulkarni,DR Smith",44
Green Park,2,Gujarat Lions,Kolkata Knight Riders,"DR Smith,SK Raina,BB McCullum,KD Karthik,AJ Finch","AS Rajpoot,SP Narine,M Morkel",55
Shaheed Veer Narayan Singh International Stadium,1,Sunrisers Hyderabad,Delhi Daredevils,"DA Warner,S Dhawan","Z Khan,J Yadav,NM Coulter-Nile,CR Brathwaite",46
Shaheed Veer Narayan Singh International Stadium,2,Delhi Daredevils,Sunrisers Hyderabad,"Q de Kock,RR Pant,KK Nair","B Kumar,BB Sran,Mustafizur Rahman",37
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Kings XI Punjab,Rising Pune Supergiants,"HM Amla,M Vijay","IK Pathan,AB Dinda,DL Chahar,NLTC Perera",52
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rising Pune Supergiants,Kings XI Punjab,"AM Rahane,UT Khawaja,GJ Bailey","Sandeep Sharma,MM Sharma,KJ Abbott",44
Green Park,1,Mumbai Indians,Gujarat Lions,"RG Sharma,MJ Guptill,N Rana,KH Pandya,JC Buttler","P Kumar,DS Kulkarni,DR Smith",49
Green Park,2,Gujarat Lions,Mumbai Indians,"AJ Finch,SK Raina,BB McCullum","R Vinay Kumar,JJ Bumrah,MJ McClenaghan,KH Pandya",70
Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,"RV Uthappa,G Gambhir,C Munro","B Kumar,BB Sran,KS Williamson,DJ Hooda",48
Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,"S Dhawan,DA Warner,NV Ojha","YK Pathan,AS Rajpoot,Shakib Al Hasan,SP Narine",48
Shaheed Veer Narayan Singh International Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,"Q de Kock,RR Pant,KK Nair","STR Binny,S Aravind,CJ Jordan,SR Watson,YS Chahal",43
Shaheed Veer Narayan Singh International Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,"CH Gayle,V Kohli,AB de Villiers,KL Rahul","Z Khan,CH Morris",49
M Chinnaswamy Stadium,1,Gujarat Lions,Royal Challengers Bangalore,"AJ Finch,BB McCullum,KD Karthik,SK Raina,DR Smith","S Aravind,Iqbal Abdulla,SR Watson",23
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Gujarat Lions,"CH Gayle,V Kohli,AB de Villiers,KL Rahul,SR Watson,Sachin Baby,STR Binny","P Kumar,DS Kulkarni,RA Jadeja",31
Feroz Shah Kotla,1,Sunrisers Hyderabad,Kolkata Knight Riders,"DA Warner,S Dhawan,MC Henriques","YK Pathan,M Morkel,SP Narine",43
Feroz Shah Kotla,2,Kolkata Knight Riders,Sunrisers Hyderabad,"RV Uthappa,G Gambhir,C Munro","B Kumar,BB Sran,DJ Hooda,Mustafizur Rahman",46
Feroz Shah Kotla,1,Gujarat Lions,Sunrisers Hyderabad,"ER Dwivedi,BB McCullum,SK Raina,KD Karthik","B Kumar,TA Boult,BB Sran,Bipul Sharma",38
Feroz Shah Kotla,2,Sunrisers Hyderabad,Gujarat Lions,"DA Warner,S Dhawan,MC Henriques,Yuvraj Singh","P Kumar,DS Kulkarni,DR Smith,SK Raina",46
M Chinnaswamy Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,"DA Warner,S Dhawan","S Aravind,CH Gayle,SR Watson",59
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,"CH Gayle,V Kohli","B Kumar,BB Sran,BCJ Cutting,Mustafizur Rahman",59
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Royal Challengers Bangalore,"DA Warner,S Dhawan,MC Henriques","TS Mills,A Choudhary,YS Chahal,S Aravind,SR Watson",59
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Sunrisers Hyderabad,"CH Gayle,Mandeep Singh,TM Head","A Nehra,B Kumar,BCJ Cutting,Rashid Khan",54
Maharashtra Cricket Association Stadium,1,Mumbai Indians,Rising Pune Supergiant,"PA Patel,JC Buttler,RG Sharma","AB Dinda,DL Chahar,BA Stokes,Imran Tahir",61
Maharashtra Cricket Association Stadium,2,Rising Pune Supergiant,Mumbai Indians,"AM Rahane,MA Agarwal,SPD Smith","TG Southee,HH Pandya,MJ McClenaghan,JJ Bumrah",59
Saurashtra Cricket Association Stadium,1,Gujarat Lions,Kolkata Knight Riders,"JJ Roy,BB McCullum,SK Raina","TA Boult,PP Chawla,SP Narine,CR Woakes",52
Saurashtra Cricket Association Stadium,2,Kolkata Knight Riders,Gujarat Lions,"G Gambhir,CA Lynn","P Kumar,DS Kulkarni,MS Gony,S Kaushik",73
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,"CH Gayle,SR Watson,Mandeep Singh","Z Khan,CH Morris,PJ Cummins,S Nadeem",41
M.Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,"AP Tare,SW Billings,KK Nair,SV Samson","B Stanlake,YS Chahal,Iqbal Abdulla,TS Mills",43
Holkar Cricket Stadium,1,Rising Pune Supergiant,Kings XI Punjab,"AM Rahane,MA Agarwal,SPD Smith","Sandeep Sharma,MM Sharma,AR Patel",35
Holkar Cricket Stadium,2,Kings XI Punjab,Rising Pune Supergiant,"HM Amla,M Vohra,WP Saha,AR Patel","AB Dinda,DT Christian,BA Stokes,Imran Tahir",56
"Rajiv Gandhi International Stadium, Uppal",1,Gujarat Lions,Sunrisers Hyderabad,"JJ Roy,BB McCullum,SK Raina,AJ Finch","Bipul Sharma,B Kumar,A Nehra,Rashid Khan",40
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Gujarat Lions,"DA Warner,S Dhawan,MC Henriques","SK Raina,P Kumar,Tejas Baroka,DS Kulkarni",59
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,"G Gambhir,CA Lynn,RV Uthappa,MK Pandey","SL Malinga,MJ McClenaghan,JJ Bumrah,KH Pandya",59
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,"PA Patel,JC Buttler","TA Boult,CR Woakes,SP Narine,Kuldeep Yadav",49
Holkar Cricket Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,"SR Watson,Vishnu Vinod,AB de Villiers,KM Jadhav,Mandeep Singh","AR Patel,Sandeep Sharma,MM Sharma,VR Aaron",23
Holkar Cricket Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,"M Vohra,HM Amla","B Stanlake,Iqbal Abdulla,SR Watson,TS Mills",62
